date,nav,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,date_parsed,nav_float
25-06-2026,203.91570,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-25,203.9157
24-06-2026,205.06550,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-24,205.0655
23-06-2026,203.54430,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-23,203.5443
22-06-2026,204.12630,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-22,204.1263
19-06-2026,202.07610,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-19,202.0761
18-06-2026,200.95650,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-18,200.9565
17-06-2026,199.83020,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-17,199.8302
16-06-2026,198.61520,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-16,198.6152
15-06-2026,198.03200,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-15,198.032
12-06-2026,196.55770,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-12,196.5577
11-06-2026,192.67220,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-11,192.6722
10-06-2026,193.43710,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-10,193.4371
09-06-2026,194.38130,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-09,194.3813
08-06-2026,191.90920,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-08,191.9092
05-06-2026,194.75470,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-05,194.7547
04-06-2026,194.52200,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-04,194.522
03-06-2026,194.08100,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-03,194.081
02-06-2026,193.12950,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-02,193.1295
01-06-2026,192.31950,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-06-01,192.3195
31-05-2026,193.68360,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-31,193.6836
29-05-2026,193.68480,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-29,193.6848
27-05-2026,195.05010,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-27,195.0501
26-05-2026,194.22580,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-26,194.2258
25-05-2026,193.55990,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-25,193.5599
22-05-2026,192.12270,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-22,192.1227
21-05-2026,191.75750,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-21,191.7575
20-05-2026,189.86610,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-20,189.8661
19-05-2026,189.55530,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-19,189.5553
18-05-2026,187.91260,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-18,187.9126
15-05-2026,190.24050,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-15,190.2405
14-05-2026,189.93450,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-14,189.9345
13-05-2026,190.46400,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-13,190.464
12-05-2026,190.61520,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-12,190.6152
11-05-2026,195.58600,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-11,195.586
08-05-2026,196.88210,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-08,196.8821
07-05-2026,197.47530,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-07,197.4753
06-05-2026,196.00360,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-06,196.0036
05-05-2026,194.56180,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-05,194.5618
04-05-2026,195.44690,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-05-04,195.4469
30-04-2026,193.41310,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-30,193.4131
29-04-2026,194.15230,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-29,194.1523
28-04-2026,193.48430,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-28,193.4843
27-04-2026,193.83170,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-27,193.8317
24-04-2026,191.04250,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-24,191.0425
23-04-2026,193.03170,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-23,193.0317
22-04-2026,194.19280,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-22,194.1928
21-04-2026,192.63970,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-21,192.6397
20-04-2026,191.05830,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-20,191.0583
17-04-2026,190.52420,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-17,190.5242
16-04-2026,188.33160,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-16,188.3316
15-04-2026,187.27860,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-15,187.2786
13-04-2026,184.34910,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-13,184.3491
10-04-2026,184.69670,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-10,184.6967
09-04-2026,181.24550,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-09,181.2455
08-04-2026,180.57830,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-08,180.5783
07-04-2026,174.83420,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-07,174.8342
06-04-2026,174.91510,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-06,174.9151
02-04-2026,173.84710,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-02,173.8471
01-04-2026,173.78200,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-04-01,173.782
31-03-2026,169.37060,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-31,169.3706
30-03-2026,169.37080,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-30,169.3708
27-03-2026,172.47390,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-27,172.4739
25-03-2026,175.42110,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-25,175.4211
24-03-2026,172.00490,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-24,172.0049
23-03-2026,169.10910,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-23,169.1091
20-03-2026,174.62050,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-20,174.6205
19-03-2026,173.90040,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-19,173.9004
18-03-2026,177.49080,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-18,177.4908
17-03-2026,174.06280,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-17,174.0628
16-03-2026,173.81980,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-16,173.8198
13-03-2026,173.97540,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-13,173.9754
12-03-2026,177.98880,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-12,177.9888
11-03-2026,178.38910,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-11,178.3891
10-03-2026,178.84190,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-10,178.8419
09-03-2026,175.77420,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2026-03-09,175.7742
