date,nav,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,date_parsed,nav_float
01-06-2026,103.09480,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-06-01,103.0948
31-05-2026,104.30830,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-31,104.3083
29-05-2026,104.31290,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-29,104.3129
27-05-2026,105.92960,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-27,105.9296
26-05-2026,105.51150,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-26,105.5115
25-05-2026,105.92170,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-25,105.9217
22-05-2026,104.77080,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-22,104.7708
21-05-2026,104.49150,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-21,104.4915
20-05-2026,104.60460,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-20,104.6046
19-05-2026,104.27670,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-19,104.2767
18-05-2026,104.15560,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-18,104.1556
15-05-2026,104.29180,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-15,104.2918
14-05-2026,104.55310,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-14,104.5531
13-05-2026,103.39600,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-13,103.396
12-05-2026,103.33840,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-12,103.3384
11-05-2026,105.60660,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-11,105.6066
08-05-2026,107.15000,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-08,107.15
07-05-2026,107.67290,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-07,107.6729
06-05-2026,107.33540,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-06,107.3354
05-05-2026,105.83870,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-05,105.8387
04-05-2026,105.74490,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-05-04,105.7449
30-04-2026,105.28450,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-30,105.2845
29-04-2026,106.06980,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-29,106.0698
28-04-2026,105.62120,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-28,105.6212
27-04-2026,106.05280,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-27,106.0528
24-04-2026,105.09280,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-24,105.0928
23-04-2026,106.13010,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-23,106.1301
22-04-2026,106.82990,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-22,106.8299
21-04-2026,107.24340,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-21,107.2434
20-04-2026,106.20630,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-20,106.2063
17-04-2026,105.98260,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-17,105.9826
16-04-2026,105.11700,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-16,105.117
15-04-2026,104.92590,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-15,104.9259
13-04-2026,103.23030,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-13,103.2303
10-04-2026,104.13480,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-10,104.1348
09-04-2026,102.54940,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-09,102.5494
08-04-2026,103.28330,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-08,103.2833
07-04-2026,99.38760,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-07,99.3876
06-04-2026,98.80140,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-06,98.8014
02-04-2026,97.52000,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-02,97.52
01-04-2026,97.71840,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-04-01,97.7184
31-03-2026,96.27530,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-31,96.2753
30-03-2026,96.27680,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-30,96.2768
27-03-2026,98.67390,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-27,98.6739
25-03-2026,100.73190,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-25,100.7319
24-03-2026,98.65970,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-24,98.6597
23-03-2026,96.71300,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-23,96.713
20-03-2026,99.61420,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-20,99.6142
19-03-2026,99.15970,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-19,99.1597
18-03-2026,102.45920,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-18,102.4592
17-03-2026,101.24960,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-17,101.2496
16-03-2026,100.39600,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-16,100.396
13-03-2026,99.71110,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-13,99.7111
12-03-2026,101.97180,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-12,101.9718
11-03-2026,102.97760,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-11,102.9776
10-03-2026,104.75930,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-10,104.7593
09-03-2026,103.38820,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-09,103.3882
06-03-2026,105.40500,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-06,105.405
05-03-2026,106.72970,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-05,106.7297
04-03-2026,105.49280,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-04,105.4928
02-03-2026,107.52310,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-03-02,107.5231
28-02-2026,108.93250,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-02-28,108.9325
27-02-2026,108.93450,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-02-27,108.9345
26-02-2026,110.29450,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-02-26,110.2945
25-02-2026,109.92930,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-02-25,109.9293
24-02-2026,109.36810,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-02-24,109.3681
23-02-2026,110.29100,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-02-23,110.291
20-02-2026,109.52730,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-02-20,109.5273
